Song_correct;Artist_correct;Song_concat;YT_link
what's up?;4 non blondes;what's up? 4 non blondes;https://www.youtube.com/watch?v=6NXnxTNIWkc
aquarius;5th dimension;aquarius 5th dimension;https://www.youtube.com/watch?v=ILSr9BbhoJQ
one;a chorus line;one a chorus line;https://www.youtube.com/watch?v=BrLcbi68R_A
chiquitita;abba;chiquitita abba;https://www.youtube.com/watch?v=p4QqMKe3rwY
dancing queen;abba;dancing queen abba;https://www.youtube.com/watch?v=xFrGuyw1V8s
fernando;abba;fernando abba;https://www.youtube.com/watch?v=dQsjAbZDx-4
gimme gimme gimme (a man after midnight);abba;gimme gimme gimme (a man after midnight) abba;https://www.youtube.com/watch?v=XEjLoHdbVeE
happy new year;abba;happy new year abba;https://www.youtube.com/watch?v=3Uo0JAUWijM
hasta maniana;abba;hasta maniana abba;https://www.youtube.com/watch?v=PrQSJ8z3dZg
honey honey;abba;honey honey abba;https://www.youtube.com/watch?v=7j6OI9TxqzI
i do i do i do i do i do;abba;i do i do i do i do i do abba;https://www.youtube.com/watch?v=tW3HN_pvbE4
i have a dream;abba;i have a dream abba;https://www.youtube.com/watch?v=_HMjOiHqE18
knowing me knowing you;abba;knowing me knowing you abba;https://www.youtube.com/watch?v=iUrzicaiRLU
lay all your love on me;abba;lay all your love on me abba;https://www.youtube.com/watch?v=2seCB54Bv-c
mamma mia;abba;mamma mia abba;https://www.youtube.com/watch?v=unfzfe8f9NI
money money money;abba;money money money abba;https://www.youtube.com/watch?v=ETxmCCsMoD0
ring ring;abba;ring ring abba;https://www.youtube.com/watch?v=TL0EoXdpOqg
s.o.s.;abba;s.o.s. abba;https://www.youtube.com/watch?v=cvChjHcABPA
so long;abba;so long abba;https://www.youtube.com/watch?v=Ecnz0VL4y4k
super trouper;abba;super trouper abba;https://www.youtube.com/watch?v=BshxCIjNEjY
thank you for the music;abba;thank you for the music abba;https://www.youtube.com/watch?v=0dcbw4IEY5w
the winner takes it all;abba;the winner takes it all abba;https://www.youtube.com/watch?v=iyIOl-s7JTU
waterloo;abba;waterloo abba;https://www.youtube.com/watch?v=Sj_9CiNkkn4
when i kissed the teacher;abba;when i kissed the teacher abba;https://www.youtube.com/watch?v=BWnKGYnuE8o
highway to hell;ac/dc;highway to hell ac/dc;https://www.youtube.com/watch?v=l482T0yNkeo
thunderstruck;ac/dc;thunderstruck ac/dc;https://www.youtube.com/watch?v=v2AC41dglnM
all that she wants;ace of base;all that she wants ace of base;https://www.youtube.com/watch?v=d73tiBBzvFM
beautiful morning;ace of base;beautiful morning ace of base;https://www.youtube.com/watch?v=rY-DY6dUDuA
the sign;ace of base;the sign ace of base;https://www.youtube.com/watch?v=iqu132vTl5Y
unspeakable;ace of base;unspeakable ace of base;https://www.youtube.com/watch?v=AuUHZj6fFnU
wisniowy sad;ada balikowska;wisniowy sad ada balikowska;https://www.youtube.com/watch?v=ekhe48nhXDU
nie pukaj do moich drzwi;ada rusowicz;nie pukaj do moich drzwi ada rusowicz;https://www.youtube.com/watch?v=LDNwcz_an5o
duzy blad;ada rusowicz i niebiesko-czarni;duzy blad ada rusowicz i niebiesko-czarni;https://www.youtube.com/watch?v=esKUtyIXinY
hej dziewczyno hej;ada rusowicz i niebiesko-czarni;hej dziewczyno hej ada rusowicz i niebiesko-czarni;https://www.youtube.com/watch?v=L-wUNORIn1I
za daleko mieszkasz mily;ada rusowicz i niebiesko-czarni;za daleko mieszkasz mily ada rusowicz i niebiesko-czarni;https://www.youtube.com/watch?v=JS_YbtPdpbg
czas wszystko zmienia;ada rusowicz i wojciech korda;czas wszystko zmienia ada rusowicz i wojciech korda;https://www.youtube.com/watch?v=TcBSN9vx2qU
masz u mnie plus;ada rusowicz i wojciech korda;masz u mnie plus ada rusowicz i wojciech korda;https://www.youtube.com/watch?v=QdBWnTPz2k0
ach jak przyjemnie;adam aston;ach jak przyjemnie adam aston;https://www.youtube.com/watch?v=rNG9dhRCeDQ
ja bez przerwy smieje sie;adam aston;ja bez przerwy smieje sie adam aston;https://www.youtube.com/watch?v=ajlvRyliLAw
kazdemu wolno kochac;adam aston;kazdemu wolno kochac adam aston;https://www.youtube.com/watch?v=8xdXiCl-O7s
nikodem;adam aston;nikodem adam aston;https://www.youtube.com/watch?v=z2VSR_4xFp0
tancz moj zloty;adam aston;tancz moj zloty adam aston;https://www.youtube.com/watch?v=luXzT2qEi74
tylko ty;adam aston;tylko ty adam aston;https://www.youtube.com/watch?v=PDCLN_-X1fE
taniec z szablami;adam chaczaturian;taniec z szablami adam chaczaturian;https://www.youtube.com/watch?v=aNh2wtSM8yk
ghost town;adam lambert;ghost town adam lambert;https://www.youtube.com/watch?v=Ix8ocFEMa1o
whataya want from me;adam lambert;whataya want from me adam lambert;https://www.youtube.com/watch?v=X1Fqn9du7xo
jest taki jeden skarb;adam wysocki;jest taki jeden skarb adam wysocki;https://www.youtube.com/watch?v=yrCCxu3ibpw
hello;adele;hello adele;https://www.youtube.com/watch?v=YQHsXMglC9A
rolling in the deep;adele;rolling in the deep adele;https://www.youtube.com/watch?v=rYEDA3JcQqw
send my love ;adele;send my love  adele;https://www.youtube.com/watch?v=fk4BbF7B29w
set fire to the rain;adele;set fire to the rain adele;https://www.youtube.com/watch?v=Ri7-vnrJD3k
skyfall;adele;skyfall adele;https://www.youtube.com/watch?v=DeumyOzKqgI
someone like you;adele;someone like you adele;https://www.youtube.com/watch?v=hLQl3WQQoQ0
turning tables;adele;turning tables adele;https://www.youtube.com/watch?v=bsFCO8-oCEQ
when we were young;adele;when we were young adele;https://www.youtube.com/watch?v=DDWKuo3gXMQ
warszawa da sie lubic;adolf dymsza;warszawa da sie lubic adolf dymsza;https://www.youtube.com/watch?v=TO3UNGhggQ8
azzurro;adriano celentano;azzurro adriano celentano;https://www.youtube.com/watch?v=HCyzGuipTd4
buona sera signorina;adriano celentano;buona sera signorina adriano celentano;https://www.youtube.com/watch?v=m_fRhxUCKLc
soli;adriano celentano;soli adriano celentano;https://www.youtube.com/watch?v=qLRtU0iUAQ4
suzanna;adriano celentano;suzanna adriano celentano;https://www.youtube.com/watch?v=2AE8JZUEMSs
crazy;aerosmith;crazy aerosmith;https://www.youtube.com/watch?v=NMNgbISmF4I
crying;aerosmith;crying aerosmith;https://www.youtube.com/watch?v=qfNmyxV2Ncw
i don't want to miss a thing;aerosmith;i don't want to miss a thing aerosmith;https://www.youtube.com/watch?v=JkK8g6FMEXE
rag doll;aerosmith;rag doll aerosmith;https://www.youtube.com/watch?v=8AHDxmbtd_U
hafanana;afric simone;hafanana afric simone;https://www.youtube.com/watch?v=EZN2y-bJ-kQ
playa blanca;afric simone;playa blanca afric simone;https://www.youtube.com/watch?v=TkfWO4K1BtY
ramaya;afric simone;ramaya afric simone;https://www.youtube.com/watch?v=By3cwKFXbVQ
todo pasara maria;afric simone;todo pasara maria afric simone;https://www.youtube.com/watch?v=a_4azaok4yA
creme brulee;aga dyk;creme brulee aga dyk;https://www.youtube.com/watch?v=t7yCkWa-Yjg
release me;agnes;release me agnes;https://www.youtube.com/watch?v=keYXzDh5JEQ
granada;agustin lara;granada agustin lara;https://www.youtube.com/watch?v=d3UOQ1nKKL4
crying in the rain;a-ha;crying in the rain a-ha;https://www.youtube.com/watch?v=h-WPexVEujg
summer moved on;a-ha;summer moved on a-ha;https://www.youtube.com/watch?v=oVl4qvHuY8g
take on me;a-ha;take on me a-ha;https://www.youtube.com/watch?v=djV11Xbc914
kleksografia;akademia pana kleksa;kleksografia akademia pana kleksa;https://www.youtube.com/watch?v=YYZiDSDMyhU
czekam na ciebie;akcent;czekam na ciebie akcent;https://www.youtube.com/watch?v=xYw487QFbuQ
french kiss;akcent;french kiss akcent;https://www.youtube.com/watch?v=IT1MYxNOcmI
kylie;akcent;kylie akcent;https://www.youtube.com/watch?v=wOem06X3uVo
przekorny los;akcent;przekorny los akcent;https://www.youtube.com/watch?v=MWilsN_5Y-s
przez twe oczy zielone;akcent;przez twe oczy zielone akcent;https://www.youtube.com/watch?v=cxtnot8lY4U
right now ;akon;right now  akon;https://www.youtube.com/watch?v=vIaH35-MLsk
ci sara;al bano i romina power;ci sara al bano i romina power;https://www.youtube.com/watch?v=f-LdY8rxckg
felicita;al bano i romina power;felicita al bano i romina power;https://www.youtube.com/watch?v=Q0wZQbK938Y
spanish eyes;al martino;spanish eyes al martino;https://www.youtube.com/watch?v=enIdTGckjKs
ironic;alanis morissette;ironic alanis morissette;https://www.youtube.com/watch?v=Jne9t8sHpUc
black velvet;alannah myles;black velvet alannah myles;https://www.youtube.com/watch?v=tT4d1LQy4es
it never rains in southern california;albert hammond;it never rains in southern california albert hammond;https://www.youtube.com/watch?v=Gmq4WIjQxp0
the free electric band;albert hammond;the free electric band albert hammond;https://www.youtube.com/watch?v=fvKlUfVb90Y
when i need you;albert hammond;when i need you albert hammond;https://www.youtube.com/watch?v=wG0VaAhDosQ
czy tutaj mieszka panna agnieszka;albert harris;czy tutaj mieszka panna agnieszka albert harris;https://www.youtube.com/watch?v=7M4GHCfzoGM
ach jak przyjemnie;aleksander zabczynski;ach jak przyjemnie aleksander zabczynski;https://www.youtube.com/watch?v=ObugQrkS7NM
caluje twoja dlon madame;aleksander zabczynski;caluje twoja dlon madame aleksander zabczynski;https://www.youtube.com/watch?v=11oXwIA7-yQ
dzkoda twoich lez dziewczyno;aleksander zabczynski;dzkoda twoich lez dziewczyno aleksander zabczynski;https://www.youtube.com/watch?v=Oa-pHAM7hmM
juz nie zapomnisz mnie;aleksander zabczynski;juz nie zapomnisz mnie aleksander zabczynski;https://www.youtube.com/watch?v=LU9akPRODyY
the boy does nothing;alesha dixon;the boy does nothing alesha dixon;https://www.youtube.com/watch?v=nAeLZs1JSR8
europe's skies;alexander rybak;europe's skies alexander rybak;https://www.youtube.com/watch?v=daqfr6DJsGc
fairytale;alexander rybak;fairytale alexander rybak;https://www.youtube.com/watch?v=WXwgZL4zx9o
funny little world;alexander rybak;funny little world alexander rybak;https://www.youtube.com/watch?v=oVNBcEygJ5E
roll with the wind;alexander rybak;roll with the wind alexander rybak;https://www.youtube.com/watch?v=cxiDmCr3h7Q
mowisz mi ze przepraszasz;alexandra;mowisz mi ze przepraszasz alexandra;https://www.youtube.com/watch?v=cOMY1Lyxv8w
poplyniemy daleko;alexandra;poplyniemy daleko alexandra;https://www.youtube.com/watch?v=rhs2KRTg990
uh la la la;alexia;uh la la la alexia;https://www.youtube.com/watch?v=95m5cdG4x6o
grek zorba;alexis zorba (piosenka z filmu);grek zorba alexis zorba (piosenka z filmu);https://www.youtube.com/watch?v=2AzpHvLWFUM
batumi;alibabki;batumi alibabki;https://www.youtube.com/watch?v=ugvqN-_IoI0
dom w malwy malowany;alibabki;dom w malwy malowany alibabki;https://www.youtube.com/watch?v=lFHO3AZwEbY
jak dobrze miec sasiada;alibabki;jak dobrze miec sasiada alibabki;https://www.youtube.com/watch?v=K_t_BVKMS-Q
juz nie twist;alibabki;juz nie twist alibabki;https://www.youtube.com/watch?v=660kwbxMS9U
kapitanskie tango;alibabki;kapitanskie tango alibabki;https://www.youtube.com/watch?v=G7MXt6kYdrE
kwiat jednej nocy;alibabki;kwiat jednej nocy alibabki;https://www.youtube.com/watch?v=8oFSN9RSjmg
pani ty jestes urocza;alibabki;pani ty jestes urocza alibabki;https://www.youtube.com/watch?v=Waw9_WwX3a4
tango zalotne przelec mnie;alibabki;tango zalotne przelec mnie alibabki;https://www.youtube.com/watch?v=W9D1hy8TkZA
una notte speciale ;alice;una notte speciale  alice;https://www.youtube.com/watch?v=czA66jXjEVE
lash out;alice merton;lash out alice merton;https://www.youtube.com/watch?v=Sd6QnOR0T6c
no roots;alice merton;no roots alice merton;https://www.youtube.com/watch?v=PUdyuKaGQd4
fallin';alicia keys;fallin' alicia keys;https://www.youtube.com/watch?v=Urdlvw0SSEc
if i ain't got you;alicia keys;if i ain't got you alicia keys;https://www.youtube.com/watch?v=Ju8Hr50Ckwk
no one;alicia keys;no one alicia keys;https://www.youtube.com/watch?v=rywUS-ohqeE
byc kobieta;alicja majewska;byc kobieta alicja majewska;https://www.youtube.com/watch?v=MkCOxFayF04
jeszcze sie tam zagiel bieli;alicja majewska;jeszcze sie tam zagiel bieli alicja majewska;https://www.youtube.com/watch?v=9un0ZU8HZO8
marsz samotnych kobiet;alicja majewska;marsz samotnych kobiet alicja majewska;https://www.youtube.com/watch?v=e-zarueV2H0
niech sie ludzie dowiedza ;alicja majewska;niech sie ludzie dowiedza  alicja majewska;https://www.youtube.com/watch?v=wE7eOTNCYQ4
odkryjemy milosc nieznana;alicja majewska;odkryjemy milosc nieznana alicja majewska;https://www.youtube.com/watch?v=reEHRU-GktU
piosenki z ktorych sie zyje;alicja majewska;piosenki z ktorych sie zyje alicja majewska;https://www.youtube.com/watch?v=CDjCwCiqZxU
przed noca i mgla;alicja majewska;przed noca i mgla alicja majewska;https://www.youtube.com/watch?v=kAPMYbb8gr0
to nie sztuka wybudowac nowy dom;alicja majewska;to nie sztuka wybudowac nowy dom alicja majewska;https://www.youtube.com/watch?v=YhI1SBgAiGM
wielki targ;alicja majewska;wielki targ alicja majewska;https://www.youtube.com/watch?v=J4Qb8jnMEiE
wszystko moze sie stac;alicja majewska;wszystko moze sie stac alicja majewska;https://www.youtube.com/watch?v=QOlqqoaYn0c
o sercu szczerozlotym;alicja majewska i artur andrus;o sercu szczerozlotym alicja majewska i artur andrus;https://www.youtube.com/watch?v=Y3A5l1j4XsA
milosc jest tylko jedna;alicja majewska i michal bajor;milosc jest tylko jedna alicja majewska i michal bajor;https://www.youtube.com/watch?v=78DjIXiYCjA
perche;alicja wegorzewska;perche alicja wegorzewska;https://www.youtube.com/watch?v=UN0OGrOqA7w
is this love? ;alison moyet;is this love?  alison moyet;https://www.youtube.com/watch?v=QDdAgJxdgcQ
love letters;alison moyet;love letters alison moyet;https://www.youtube.com/watch?v=g6uATC-u9rw
only you;alison moyet;only you alison moyet;https://www.youtube.com/watch?v=FH8Y6nN7N1E
moi lolita;alizée;moi lolita alizée;https://www.youtube.com/watch?v=QpbHdIrtpNo
i swear;all-4-one;i swear all-4-one;https://www.youtube.com/watch?v=25rL-ooWICU
i need a dollar;aloe blacc;i need a dollar aloe blacc;https://www.youtube.com/watch?v=nFZP8zQ5kzk
felus majcher;alosza awdiejew;felus majcher alosza awdiejew;https://www.youtube.com/watch?v=N_EF8H5Nz00
kim ja jestem;alosza awdiejew;kim ja jestem alosza awdiejew;https://www.youtube.com/watch?v=3qsMTm4JwO4
lubie cygana jana;alosza awdiejew;lubie cygana jana alosza awdiejew;https://www.youtube.com/watch?v=21mAGoqdxik
big in japan;alphaville;big in japan alphaville;https://www.youtube.com/watch?v=DdWZKb659K0
dance with me;alphaville;dance with me alphaville;https://www.youtube.com/watch?v=-tmY1GEH3_Y
forever young;alphaville;forever young alphaville;https://www.youtube.com/watch?v=t1TcDHrkQYg
agosto;alvaro soler;agosto alvaro soler;https://www.youtube.com/watch?v=giMM3z6xAZI
el mismo sol;alvaro soler;el mismo sol alvaro soler;https://www.youtube.com/watch?v=aNHwNreDp3A
